water_prc,elect_prc,tel_prc,district
0.0944206008583691,0.4927395934172313,0.5837755875663382,1
0.4645922746781116,0.3117134559535334,0.1940864291129643,0
0.8508583690987125,0.2323330106485963,0.1425322213798332,0
0.1995708154506437,0.4085188770571152,0.6504927975739196,2
0.3476394849785408,0.6621490803484994,0.6800606520090978,1
0.6802575107296137,0.3204259438528558,0.0667172100075815,0
0.7693133047210301,0.3252662149080348,0.1402577710386656,0
0.628755364806867,0.2439496611810261,0.0742987111448066,0
0.1791845493562231,0.4046466602129719,0.7619408642911297,2
0.5954935622317596,0.7299128751210068,0.7103866565579984,1
0.5783261802575107,0.3620522749273959,0.026535253980288,0
0.4270386266094421,0.6689254598257502,0.4412433661865049,1
0.3068669527896995,0.7086156824782187,0.5966641394996209,1
0.1469957081545064,0.3601161665053243,0.66868840030326,2
0.4763948497854078,0.2274927395934172,0.1000758150113722,0
0.5472103004291845,0.2642787996127783,0.1220621683093252,0
0.5482832618025751,0.3059051306873185,0.1705837755875663,0
0.4120171673819742,0.6001936108422071,0.5852918877937832,1
0.1276824034334764,0.2787996127783156,0.7005307050796058,2
0.9055793991416308,0.2739593417231365,0.2092494313874147,0
0.7414163090128756,0.3320425943852855,0.1175132676269901,0
0.3658798283261802,0.7773475314617617,0.579226686884003,1
0.6630901287553648,0.2139399806389157,0.1546626231993934,0
0.565450643776824,0.3262342691190706,0.0174374526156178,0
0.4399141630901287,0.808325266214908,0.4874905231235784,1
0.5590128755364807,0.3872216844143272,0.089461713419257,0
0.0633047210300429,0.3397870280735721,0.822592873388931,2
0.5665236051502146,0.5672797676669893,0.6800606520090978,1
0.8272532188841202,0.2836398838334946,0.1637604245640637,0
0.1244635193133047,0.3969022265246854,0.8377558756633814,2
0.6534334763948498,0.2139399806389157,0.1683093252463988,0
0.3047210300429184,0.57405614714424,0.5367702805155421,1
0.0182403433476394,0.4288480154888673,0.6747536012130402,2
0.2478540772532189,0.7095837366892546,0.5959059893858984,1
0.2017167381974249,0.4549854791868344,0.7824109173616376,2
0.2800429184549356,0.7163601161665053,0.6611068991660349,1
0.25,0.4065827686350436,0.8134950720242609,2
0.7639484978540773,0.3039690222652468,0.112964366944655,0
0.0675965665236051,0.4385285575992256,0.7065959059893859,2
0.2607296137339056,0.5121006776379476,0.7573919636087946,2
0.4527896995708154,0.8170377541142303,0.4844579226686883,1
0.8165236051502146,0.1684414327202323,0.2100075815011372,0
0.0332618025751072,0.420135527589545,0.7361637604245641,2
0.5150214592274678,0.2255566311713456,0.1948445792266868,0
0.4495708154506438,0.5692158760890609,0.6815769522365428,1
0.655579399141631,0.2613746369796708,0.2153146322971948,0
0.6856223175965666,0.3465634075508229,0.1493555724033358,0
0.3583690987124463,0.5217812197483058,0.6353297952994693,1
0.5772532188841202,0.388189738625363,0.1721000758150113,0
0.7564377682403434,0.2807357212003872,0.092494313874147,0
0.3283261802575107,0.3872216844143272,0.6542835481425323,2
0.1931330472103004,0.7395934172313648,0.689158453373768,1
0.5761802575107297,0.7144240077444336,0.6307808946171342,1
